PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
0DxUh,r4rk1/pppb1ppp/4p3/4P3/1b1P2q1/2NB4/PP1Q1PPP/R4RK1 b - - 4 14,g4d4 d3h7 g8h7 d2d4,988,87,100,332,crushing discoveredAttack kingsideAttack middlegame short,https://lichess.org/hKjHxN0u/black#28,Queens_Gambit_Declined Queens_Gambit_Declined_Three_Knights_Variation
07fwq,k7/p1q1Npp1/Q4pp1/8/1p4P1/1P6/P1P5/2K5 b - - 0 34,c7e7 a6c8,849,99,97,316,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/VgTWfeoP/black#68,
06PAh,8/6p1/r3kp2/7p/5B1P/1p2P3/1Kb2PP1/2R5 w - - 4 34,f4g3 a6a2 b2c3 b3b2,834,79,97,366,advancedPawn crushing endgame short,https://lichess.org/T87Bd95J#67,
08109,4r1k1/p5pp/2r2p2/2B5/3pNP2/6P1/P4K1P/4R3 b - - 0 30,d4d3 e4f6 g7f6 e1e8,766,98,93,2537,advantage discoveredAttack endgame short,https://lichess.org/rXDSpUaA/black#60,
0FP42,r1bq1rk1/p4ppp/5b2/2pN4/8/3B4/PPP2PPP/R2Q1RK1 b - - 0 12,d8d5 d3h7 g8h7 d1d5,917,84,88,88,advantage discoveredAttack kingsideAttack middlegame short,https://lichess.org/om8BoXnk/black#24,Scotch_Game Scotch_Game_Other_variations
0Ozxa,rnbqk2r/2p2p2/1pP1p2p/pP1p4/3Pn1p1/P1b1PNB1/3N1PPP/2RQKB1R w Kkq - 0 14,f3e5 c3d2 d1d2 e4d2,854,78,99,887,advantage fork middlegame short,https://lichess.org/Ay6qP0s7#27,Queens_Gambit_Declined Queens_Gambit_Declined_Other_variations
0IN6H,5r1k/ppp1rp2/3p1N1p/b3q1pQ/4P3/3B4/PPP4P/1K3R2 b - - 7 30,e7e6 h5h6,778,98,97,1557,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/7vMUbBY6/black#60,
0Kcre,r2q1b1r/1pp1n1kp/p2pBpp1/3PP3/4P3/4B3/PPPQ3P/2KN2R1 b - - 0 17,d6e5 e3h6,844,101,100,32,mate mateIn1 middlegame oneMove,https://lichess.org/cy1YkA7x/black#34,Three_Knights_Opening Three_Knights_Opening_Other_variations
0BWoI,rn1qkb1r/pp2pppp/2p2n2/5b2/4N3/2N5/PPPPQPPP/R1B1KB1R b KQkq - 0 6,g7g6 e4f6,958,77,98,385,mate mateIn1 oneMove opening pin,https://lichess.org/6y9WQXWM/black#12,Zukertort_Opening Zukertort_Opening_Tennison_Gambit
0Gr7J,5rk1/3QRp1p/6p1/8/1p6/1Bn2P2/K1P3PP/6q1 w - - 14 42,a2b2 g1b1,988,76,92,751,endgame master mate mateIn1 oneMove,https://lichess.org/cE2qno4c#83,
